	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF
140	Lorenz	yelp	846	859	1000	20	0.0005423204991347755	1806.5500059229325	13352.641797254566	0.748105692403533	0.9736290931649054	0.04307334109429569	0.0007401525374961586
141	Baseline	yelp	1187	1212	1500	20	0.0	2118.1323585342825	20208.1053872714	0.4930529695814643	0.8568987518365285	0.018976897689768978	0.0006497106620601595
142	Lorenz	yelp	1187	1212	1500	20	0.0006194107096528393	2169.5774178876545	15869.169743707043	0.7774061805301576	0.9779121014575967	0.039603960396039604	0.0005150599920252433
143	Baseline	amazon	279	269	300	20	0.0	499.7355381920396	4521.737178867069	0.6110658074564872	0.8033515874991917	0.08921933085501858	0.0028196783158933526
144	JME	amazon	279	269	300	20	0.0002929436804049763	138.73043840761477	1091.038294108705	0.9642754825913131	0.7428805583311514	0.2899628252788104	0.019688716158270836
145	Baseline	amazon	324	311	350	20	0.0	607.848237189503	5704.677288282794	0.5817844326455526	0.8137915008053265	0.06752411575562701	0.00247906675386613
146	JME	amazon	324	311	350	20	0.00043793758452161135	241.68357487807725	1748.8123365143042	0.851909907333231	0.818291196450762	0.17363344051446947	0.06419790536165237
147	Baseline	amazon	366	353	400	20	0.0	681.7759279731063	6415.536823182917	0.5736525770510522	0.8196513193173498	0.059490084985835696	0.002240044918374424
148	Baseline	amazon	453	436	500	20	0.0	862.3821667096826	8109.790968773671	0.5554090476954702	0.8303890481467144	0.0481651376146789	0.0018610539600802107
149	JME	amazon	453	436	500	20	0.0005103083966076766	279.7839728022744	1937.4606935443144	0.8623332175663609	0.8458748526159254	0.1926605504587156	0.04289262741804123
150	Baseline	amazon	607	585	700	20	0.0	1131.854426997483	10592.401811673604	0.5427713522638775	0.8411970583331077	0.041025641025641026	0.0014269817531619836
151	JME	amazon	607	585	700	20	0.0010529665525211653	550.6393925886988	2921.5607860325813	0.8251570058278133	0.8929206186065797	0.13333333333333333	0.003119379747658968
152	Baseline	amazon	825	769	1000	20	0.0	1607.9121667585246	15331.93080707047	0.518841894120431	0.8522399615995727	0.02860858257477243	0.0011481506632140838
153	JME	amazon	825	769	1000	20	0.0010681116097051313	600.861090430988	3976.006229697257	0.7732981686411741	0.904079624287454	0.10793237971391417	0.0020733755081892014
154	Baseline	amazon	1156	1040	1500	20	0.0	2314.5021762575775	21491.74866863905	0.5106134624795534	0.8612189322818892	0.023076923076923078	0.0009028048794543687
155	JME	amazon	1156	1040	1500	20	0.0008542122615490604	573.4904000267095	3016.475591715977	0.8237559752528921	0.8414848293637235	0.16826923076923078	0.06363175809383392
156	Baseline	black_friday	282	261	300	20	0.0	535.0712829495849	4841.387501651474	0.6105108821173276	0.8043198292931005	0.08812260536398467	0.004059362614346218
157	JME	black_friday	282	261	300	20	0.00013105678024067152	211.92411593408806	1616.7055093143083	0.9537035343588246	0.7974854854266413	0.2222222222222222	0.060799095779657364
158	Baseline	black_friday	328	305	350	20	0.0	632.6238953530302	5925.023703305562	0.5847250139941322	0.8148100196669298	0.06885245901639345	0.0034863603538992237
159	JME	black_friday	328	305	350	20	0.000301235273997904	286.9272802395907	2008.8335393711368	0.8655036505056227	0.8350729959365496	0.18688524590163935	0.06290113925933838
160	Baseline	black_friday	367	346	400	20	0.0	708.6301556663492	6624.867553209263	0.5736432425059353	0.8218962738305975	0.06069364161849711	0.003140129930971685
161	Baseline	black_friday	455	426	500	20	0.0	889.6668879735975	8379.151006193655	0.5560840219813549	0.8317177277953972	0.04929577464788732	0.002572925811163472
162	JME	black_friday	455	426	500	20	0.00016822857019724134	325.37404679485195	2206.8927902312153	0.845281790060781	0.8513511644334868	0.16666666666666666	0.018349505960941315
163	Baseline	black_friday	611	546	700	20	0.0	1216.8855114166288	11228.766963195532	0.550366340256212	0.843822763397379	0.04395604395604396	0.002093880809929053
164	JME	black_friday	611	546	700	20	0.00016940947367755202	545.2946784474082	3021.7010291296	0.8128110941710782	0.8793537706590099	0.16117216117216118	0.006422535516321659
165	Baseline	black_friday	841	716	1000	20	0.0	1803.2068993305058	17198.227583408756	0.5217325098657299	0.8567362120740387	0.030726256983240222	0.0016579412988979598
166	JME	black_friday	841	716	1000	20	0.0002518241569609105	562.7741359057021	3742.6884772635062	0.8132383729304647	0.8834856940759847	0.12988826815642457	0.02517874725162983
