	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	MeanNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF	GGF
1059	ITFR	movielens	608	672	1500	20	0.0011697534056143808	0.9642893181471757	27.63269716381969	251.82426303854876	0.9552832457963528	0.398868700118261	0.3913690476190476	0.315777450799942	6.411186153814643e-09
1061	ITFR	yelp	279	284	300	20	0.00018890750338553986	0.9729102136889176	112.37888724146262	567.3760166633604	0.9072231103780838	0.6203691011091518	0.33098591549295775	0.3113939166069031	4.528070852559038e-08
1063	ITFR	yelp	279	284	300	20	0.0001967298343923307	0.9718913274247895	113.18768069372166	537.4816504661773	0.9101182728006363	0.6105052586276005	0.3380281690140845	0.32196691632270813	5.4939984509997944e-08
1065	ITFR	yelp	279	284	300	20	0.00015203174062342322	0.9728378693716421	143.43345223247707	714.5450307478674	0.889702780479854	0.6588917274802356	0.29577464788732394	0.3083067238330841	4.7916547628923495e-08
1067	ITFR	yelp	279	284	300	20	0.00021420886171345964	0.9721622276814681	126.92630644451664	660.0520730013886	0.8953055644117719	0.652928413993942	0.3028169014084507	0.30121296644210815	4.59378361185807e-08
1069	ITFR	yelp	279	284	300	20	0.0002410655411611931	0.9709542800963429	126.7109577481715	589.9323546915294	0.901471632311545	0.6292105023905958	0.31338028169014087	0.332844078540802	4.989396057482504e-08
1071	ITFR	yelp	322	323	350	20	0.0001640056485743908	0.9779586350609981	139.70241095052802	688.3986427551305	0.900024937537696	0.632365763845255	0.29102167182662536	0.3114883303642273	1.9026435141105446e-08
1073	ITFR	yelp	322	323	350	20	0.0001911924104335981	0.9780281753188887	173.97182452033098	980.1695405879478	0.873822429667332	0.6965898483347779	0.2693498452012384	0.2984124422073364	1.7569706781572286e-08
1075	ITFR	yelp	322	323	350	20	0.00021561758948568407	0.976614025599196	127.13168879976537	601.7175282040469	0.9048862879690291	0.6394115487041259	0.34055727554179566	0.3067479133605957	1.633811826969334e-08
1077	ITFR	yelp	322	323	350	20	0.00019496687762769955	0.9777006770089578	177.30149996365446	924.4296025074523	0.8787086237395431	0.69816596083082	0.2848297213622291	0.3128415644168854	1.8510357036966195e-08
1079	ITFR	yelp	322	323	350	20	0.0008514346518249249	0.9687217091121202	209.15815040332106	1050.2995715477002	0.8659608020180878	0.7150046789161293	0.2755417956656347	0.31082624197006226	1.869578073652166e-08
1081	ITFR	yelp	452	456	500	20	0.0001715151473576372	0.9815369751514331	300.0774159785059	1760.1753616497383	0.8149282063550694	0.8142232984217647	0.19517543859649122	0.34103140234947205	1.6948225440316955e-08
1083	ITFR	yelp	452	456	500	20	0.000146579717530107	0.9808682050816081	342.2853909685134	1934.5700984918437	0.8169164008681309	0.813836723487787	0.19517543859649122	0.32372376322746277	1.5453954960508107e-08
1085	ITFR	yelp	452	456	500	20	0.00014139401871958606	0.9820976637796901	187.52575097066457	1182.6972914743	0.8564128721150743	0.73571240831939	0.23684210526315788	0.3448959290981293	1.7744394568484313e-08
