	Approach	Dataset	Users	Items	Interactions	k	Variance-NDCG	Variance-Exposure	Variance-ExposureEqWeight	Entropy	Gini	MMS	IIF
654	JME	yelp	846	859	1000	40	0.00011614336170118195	817.2780539682686	8097.959505665549	0.8282834380748901	0.843813380447226	0.16065192083818394	tensor(0.0012)
655	Baseline	yelp	1187	1212	1500	40		3035.699293572158	41865.911648095505	0.5571558243990415	0.8906201771952833	0.03547854785478548	
656	JME	yelp	1187	1212	1500	40	0.000197170763126637	845.3713704743287	6635.4413510658005	0.8732011622183432	0.8149657621678125	0.21947194719471946	tensor(0.0327)
657	Baseline	amazon	279	269	300	40		682.3933185248932	9101.885518442255	0.692804783886581	0.7930359165291531	0.15613382899628253	
658	ITFR	amazon	279	269	300	40	8.580876401555922e-05	272.99947856058407	2063.1643288511773	0.9165970101606918	0.5854170378778938	0.31226765799256506	tensor(0.3261)
659	Baseline	amazon	324	311	350	40		819.6192038929505	11124.053204578116	0.6732030342845555	0.8100390673309089	0.13183279742765272	
660	ITFR	amazon	324	311	350	40	0.00011840252626078981	204.32445401279395	1348.9149409125214	0.9396489385852783	0.5378595541222	0.3633440514469453	tensor(0.3409)
661	Baseline	amazon	366	353	400	40		927.3890748358538	12599.892335224586	0.6614173423758422	0.8222590338263015	0.11898016997167139	
662	Baseline	amazon	453	436	500	40		1174.5114856706016	16093.865709957076	0.6389352548240984	0.8406054944809656	0.09403669724770643	
663	ITFR	amazon	453	436	500	40	5.607201871682016e-05	576.4711844653887	5003.315251241479	0.8491288483480759	0.7464341456053037	0.23394495412844038	tensor(0.3674)
664	Baseline	amazon	607	585	700	40		1598.8438958126976	21792.08587917306	0.6147029008483291	0.8610980573152238	0.0735042735042735	
665	ITFR	amazon	607	585	700	40	6.992111852578745e-05	710.3096201724882	5935.908101395282	0.839634559015323	0.7870036337091957	0.2170940170940171	tensor(0.3773)
666	Baseline	amazon	825	769	1000	40		2266.2521452914225	31261.676414237656	0.5914149941055536	0.8765860924865464	0.055916775032509754	
667	ITFR	amazon	825	769	1000	40	0.00013180771108148323	805.9741329187588	7142.097740635583	0.8445822021838262	0.7751819814893793	0.2535760728218466	tensor(0.4575)
668	Baseline	amazon	1156	1040	1500	40		3238.4046100432724	43279.12544378695	0.5802546690357965	0.889142845321367	0.047115384615384615	
669	ITFR	amazon	1156	1040	1500	40	0.00012678584101660106	481.4792660652833	4191.900443786983	0.9039455391413557	0.6672314594178085	0.3192307692307692	tensor(0.4589)
670	Baseline	black_friday	282	261	300	40		691.6057285438807	8865.994451050337	0.7107847039903552	0.787760074618844	0.1839080459770115	
671	ITFR	black_friday	282	261	300	40	7.731736427180398e-05	265.96791656400876	1965.3814242304134	0.9233426901840716	0.5751482964510162	0.3218390804597701	tensor(0.3196)
672	Baseline	black_friday	328	305	350	40		854.0174140657238	11480.36366568127	0.675787444125129	0.8095006395096592	0.13442622950819672	
673	ITFR	black_friday	328	305	350	40	6.613353885595908e-05	202.1409043043507	1664.022682074711	0.9349037567521562	0.5342975822370003	0.32131147540983607	tensor(0.2946)
674	Baseline	black_friday	367	346	400	40		948.4280618573591	12800.111831334161	0.6643003828009219	0.8217605265803737	0.12427745664739884	
